,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
358002,GC-WD-DEO-2019-2020-Q1-27,Forum for Women Entrepreneurs in British Columbia,Vancouver,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15560,15560,12000,6/27/19,4/30/20,Support a workshop for female leaders who are interested in becoming angel investors,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358001,GC-WD-DEO-2019-2020-Q1-26,The Governors of the University of Alberta,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15308,15308,1565730,5/6/19,3/31/23,Test and validate renewable jet fuels that meet aviation industry standards,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358000,GC-WD-DEO-2019-2020-Q1-25,Community Futures Parkland Inc.,Grandview,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15432,15432,1215000,5/31/19,9/15/23,Develop entrepreneurship hubs and outreach for rural and diverse women in Manitoba,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357999,GC-WD-DEO-2019-2020-Q1-24,Banff Television Festival Foundation,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15411,15411,1993000,6/5/19,9/15/23,Develop the Banff Accelerator for Women in the Business of Media,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357998,GC-WD-DEO-2019-2020-Q1-23,M.A. Steel Foundry Ltd.,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15577,15577,466000,6/26/19,3/31/21,Purchase and install a 3-D sand printer and enterprise resource planning software,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357996,GC-WD-DEO-2019-2020-Q1-21,University of Victoria,Victoria,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15311,15311,535000,4/11/19,3/31/21,Deliver the E-commerce EAGLE entrepreneurship program for Indigenous youth in BC,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357995,GC-WD-DEO-2019-2020-Q1-20,Hillberg & Berk Accessories Inc.,Regina,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15323,15323,100000,4/12/19,6/1/21,Assess and expand sales of jewelry to the U.K. market,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357994,GC-WD-DEO-2019-2020-Q1-19,Alberta Biotechnology Association,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15463,15463,60000,5/23/19,5/31/22,Address capacity gaps in the Alberta life sciences sector to achieve greater impact,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357993,GC-WD-DEO-2019-2020-Q1-18,Saskatoon Open Door Society Inc.,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15435,15435,999219,6/19/19,3/31/23,Create a business incubator for recent immigrant women entrepreneurs in Saskatoon,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357992,GC-WD-DEO-2019-2020-Q1-17,New World Technologies Inc.,Abbotsford,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15629,15629,500200,6/28/19,3/31/21,Purchase and install two pieces of automated CNC machining equipment,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
