recipient_city,agreement_value,year
Bowman,[2520. 7000.],[2018 2019]
Bowmanville,[ 30237.  35090. 242468. 283082. 113007.],[2014 2015 2016 2018 2019]
"Bowmanville, Ontario",[161498.  50000.],[2017 2018]
Bowser,[25000.],[2015]
Boylston,[1320. 3237.],[2018 2019]
Brace Bridge,[21111.],[2019]
Bracebridge,[ 35000. 106519.  49430. 139219.  50000.  52215.  95005.],[2006 2009 2011 2014 2015 2018 2019]
Brackendale,[5175.],[2018]
Brackley Beach,[4164. 7360.],[2018 2019]
Bradford,[65088. 89409.     0.],[2016 2018 2019]
"Bradford, Ontario",[46379.],[2017]
Braeside,[1680.],[2018]
Bragg Creek,"[34990. 67760. 45024. 81056. 61952. 54560. 58656. 38220. 55216. 37944.
 59735. 59350. 69664.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Bragg Creek, Alberta",[84821.],[2017]
Bralorne,[3036. 3324.],[2018 2019]
Brampton,"[ 201000.  693651. 1989700.  217651.  776523. 3016766.  163469.  123775.
 6933547.  369427.  900788. 3184149. 1243256.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Brampton, Ontario",[ 447620. 1603432.],[2016 2017]
Branch,[13814. 15467.],[2018 2019]
Branch Lahave,[3080. 3095.],[2018 2019]
Branchton,[11391.],[2018]
Brandon,"[  173202.  1110758.  1411200.   478957.   821102.   192900.  4193024.
   163335.  6163524.   485906.    66486.    50000.   243316. 16981202.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019]
"Brandon, Manitoba",[1231053.  150000.  234778.],[2016 2017 2018]
Branford,[49074.],[2014]
Brantford,"[  264527.   271320.  2947132.    93923. 10862517.   745825.   185506.
   278058.   848814.   349047.   142054.   729719.  3097783.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Brantford, Ontario",[293714.  73586.],[2017 2018]
Bras d'Or,[5332. 7338.],[2018 2019]
Bras d'or,[49086.],[2007]
Breadalbane,[12986. 13784.],[2018 2019]
Brechin,[75000. 64171. 25962.  8750.],[2011 2013 2018 2019]
Bredenbury,[1316. 3097.],[2018 2019]
Brentwood Bay,[15192. 39366.],[2018 2019]
Breslau,[  69520. 5493768.],[2018 2019]
"Breslau, Ontario",[28728. 33561.],[2017 2018]
Breton,[ 6528. 28600.],[2018 2019]
Bridgenorth,[75000.  8400.  5979.],[2011 2018 2019]
Bridgeport,[9020. 9356.],[2018 2019]
Bridgetown,[ 96558.   499999.96  50000.    76500.    28331.    48777.  ],[2007 2009 2013 2015 2018 2019]
Bridgeville,[23573.],[2019]
Bridgewater,"[ 80466. 232472.  74339.  80434. 494875. 103654. 102335.  96907. 290029.
 112305.]",[2006 2007 2008 2010 2011 2014 2015 2016 2018 2019]
Bridgwater,[47090. 47601.],[2008 2009]
Brigham,[  4142. 106830.],[2018 2019]
"Brigham, Quebec|Brigham, Québec",[50000.],[2017]
Bright,[13440.],[2018]
Bright's Grove,[16431.],[2018]
Brighton,[39158. 58444.],[2018 2019]
"Brighton, Ontario",[10080.],[2018]
Brights Grove,[6720.],[2018]
Brigus,[48672. 55177.],[2018 2019]
Bristol,[2882. 4840.],[2018 2019]
Bristol Mines,[1260.],[2018]
Bristol's Hope,[1005. 1539.],[2018 2019]
Britannia Beach,[9201. 8822.],[2018 2019]
Britt,[24920.],[2019]
Broad Cove,[16937. 19037.],[2018 2019]
Broadview,[6665. 6688.],[2018 2019]
Brochet,[28942.],[2019]
Brocket,[292940.  23300. 213556.],[2016 2018 2019]
Brockville,"[ 536673.  471944. 1072724.  669588. 1295498. 4031330.  189636.  950611.
  324155. 1345582. 1410663.  182675.  100000.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Brockville, Ontario",[1732210. 1283873.],[2016 2017]
Broderick,[1316. 5974.],[2018 2019]
Brome,[6587. 9587.],[2018 2019]
Bromont,[ 30642. 124811.],[2018 2019]
Brook Village,[3436.],[2018]
Brookfield,[17865. 27367.],[2018 2019]
Brooklin,[31500. 40362.],[2016 2018]
"Brooklin, Ontario",[37620.],[2017]
Brooklyn,[3095.],[2019]
Brooks,[314582. 232876. 193824. 162351. 431413. 185551. 242786.  65281. 128678.],[2006 2007 2009 2010 2012 2013 2016 2018 2019]
Brookside,[1155.],[2018]
Brossard,"[222327. 366837. 194037. 465869. 548275. 960776. 179743.  88370.  88553.
 396821. 452911. 853094.]",[2006 2007 2008 2009 2010 2011 2012 2013 2015 2016 2018 2019]
"Brossard, Quebec|Brossard, Québec",[1512752.],[2017]
Brown's Arm,[3048. 3119.],[2018 2019]
Brown's Flat,[3596.],[2019]
Brown's Yard,[5137.],[2019]
Browns Flat,[ 3514. 24995.],[2018 2019]
Brownsburg-Chatham,[14454. 89042.],[2018 2019]
Brownsburg-chatham,[19465.],[2019]
Brownsdale,[1005. 1368.],[2018 2019]
Bruce Mines,[19354.     0.],[2018 2019]
"Bruce Mines, Ontario",[33800.],[2018]
Bruce Peninsula,[1680.],[2018]
Brudenell,[3007. 1717.],[2018 2019]
Bruderheim,[3264. 4200.],[2018 2019]
Brule Point,[1619.],[2019]
Bruno,[50000. 33319.  1316. 15197.],[2008 2014 2018 2019]
Brussels,[42895.  8400.],[2015 2018]
Bryson,[4554. 9476.],[2018 2019]
Brébeuf,[1440. 3500.],[2018 2019]
Buchanan,[16218.],[2019]
Buchans,[11822. 15212.],[2018 2019]
Buckhorn,[32329. 11392.],[2011 2018]
Buckhorn Trent Lakes,[5670.],[2019]
Buckland,[1440. 3500.],[2018 2019]
Buena Vista,[2631.],[2018]
Buffalo Narrows,[10039. 17461.],[2018 2019]
Bulyea,[6579.],[2018]
Burford,[31855. 48051.  1680. 30500.],[2013 2015 2018 2019]
Burgeo,[21053. 15402.],[2018 2019]
Burin,[40078. 62867.],[2018 2019]
Burin Bay Arm,[12688.],[2018]
"Burin, Newfoundland and Labrador|Burin, Terre-Neuve-et-Labrador",[50000.],[2017]
Burk's Falls,[ 3797. 20458.],[2018 2019]
Burlington,"[ 173273.  755932. 1116898.  300236.  899790.  623124.  964028.  630935.
  566954.  636510.  895733. 2467437.  884718.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Burlington, Ontario",[489436. 665880. 124207.],[2016 2017 2018]
Burnaby,"[ 2496474.  3398698.  4765456.  4721510.  3838957. 24559519.  1341275.
 11083795. 43004670. 11715045.  1578741. 11649377. 10531045.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Burnaby, British Columbia|Burnaby, Colombie-Britannique",[1363991. 1164810.],[2017 2018]
Burns Lake,[50000. 29994. 49967. 76451.],[2008 2010 2018 2019]
Burnside,[2380682.    4851.],[2011 2019]
Burnt Church,[87342.  3082.],[2013 2019]
Burnt Church First Nation,[3012.],[2018]
Burnt Cove,[ 5972. 18839.],[2018 2019]
Burnt Islands,[82780. 21150. 18330.],[2011 2018 2019]
Burr,[1316.],[2018]
Burstall,[4363. 3591.],[2018 2019]
Burtts Corner,[7028.],[2018]
Burwash Landing,[14914.],[2018]
Bury,[10947. 32736.],[2018 2019]
Busby,[25446. 28616. 47936. 58800.],[2008 2009 2016 2019]
"Busby, Alberta",[33221.],[2017]
Béarn,[93074.  6176.  8536.],[2013 2018 2019]
Bécancour,[105600. 290572.],[2018 2019]
Bégin,[14287. 26286.],[2018 2019]
CABRI,[1549.],[2019]
CALGARY,[271123.],[2019]
CAMPBELL RIVER,[1941.],[2019]
CAMROSE,[3709.],[2018]
"CAMROSE,",[4200.],[2019]
CANORA,[7182.],[2019]
CAP-SANTÉ,[1440.],[2018]
CARDSTON,[2100.],[2019]
CARMAN,[3181.],[2019]
CASTOR,[4777.],[2019]
CAWSTON,[3881.],[2019]
CAlgary,[49040.],[2009]
CAstlegar,[7756.],[2019]
CHAMPION,[14331.],[2019]
CHAPAIS,[0.],[2019]
CHEMAINUS,[7092.],[2019]
CHILLIWACK,[24305.],[2019]
"CHILLIWACK,BC",[8822.],[2019]
CHRISTOPHER LAKE,[31872.],[2019]
CLAIR,[1577.    0.],[2018 2019]
CLarenville,[1005.],[2018]
COLD LAKE,[9554.],[2019]
CONSUL,[3097.],[2019]
COQUITLAM,[35686.],[2019]
COURTENAY,[8822.],[2019]
CRESTON,[4411.],[2019]
CROSSFIELD,[6300.],[2019]
Cabano,[ 83167. 123257. 204354. 142771. 231042. 318837.],[2006 2007 2008 2009 2010 2011]
Cabri,[2632. 3078.],[2018 2019]
Cache Bay,[1680.],[2018]
Cache Creek,[30229.  7756.],[2018 2019]
Cacouna,[26570.  9059. 45244.],[2014 2018 2019]
Calabogie,[ 32185.  75000.  75000.  44200.  12197. 125692.],[2008 2011 2012 2015 2018 2019]
"Calabogie, Ontario",[50000.],[2017]
Caledon,[103402.  50000. 109329. 245219.],[2011 2015 2016 2018]
Caledon East,[46150.  7157. 25000.],[2015 2018 2019]
"Caledon, Ontario",[93147.],[2017]
Caledonia,[ 50000.  45193. 101919.],[2010 2018 2019]
Calgary,"[1.22337490e+07 1.16295710e+07 1.66230770e+07 3.69173660e+07
 2.16629530e+07 2.26911660e+07 8.78066200e+06 8.75749900e+06
 3.59329190e+07 1.43953540e+07 8.61230400e+06 9.87633000e+06
 1.37569068e+08]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Calgary, AB",[17159.],[2019]
"Calgary, Alberta",[ 1370668. 24208987.   238152.    68775.],[2016 2017 2018 2019]
Calixa-Lavallée,[13998.  7968.],[2018 2019]
Callander,[50000.  3360.  3780.],[2013 2018 2019]
Calmar,[11128. 10800.],[2018 2019]
Calvert,[5224. 6237.],[2018 2019]
Cambray,[50000.],[2014]
Cambridge,"[  52814.  455537.  362120.  823741.  530416.  454151.   91738. 1017752.
  105008.]",[2006 2010 2011 2012 2013 2015 2016 2018 2019]
Cambridge Bay,"[5.838740e+05 8.439540e+05 1.502358e+06 8.099756e+06 1.203482e+06
 5.191917e+06 3.114597e+06 7.905160e+05 5.223400e+04 7.098000e+03]",[2007 2008 2009 2010 2011 2012 2014 2016 2018 2019]
"Cambridge Bay, Nunavut",[227300.],[2017]
"Cambridge, Ontario",[252751.  50000.],[2017 2018]
Cambridge-Narrows,[35094.  8032. 10058.],[2007 2018 2019]
Camlachie,[1680.],[2018]
Campbell River,"[ 434665.  419828.  157985. 5164589.  577852.   78804.  233958.  203642.
  227375.]",[2007 2008 2009 2010 2011 2012 2015 2018 2019]
"Campbell River, British Columbia|Campbell River, Colombie-Britannique",[883052.],[2017]
Campbell's Bay,[125270. 161217.  27633. 434716.],[2014 2015 2018 2019]
Campbellford,[50000. 68530. 99878. 34644. 62733.  3360.],[2009 2011 2013 2014 2018 2019]
Campbellton,"[ 149758. 5315076.  293750.  492427.  289216.   86990. 2114306. 3751180.
  117002. 2212820.  408617.  311817.  513628. 4612909.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019]
"Campbellton, New Brunswick|Campbellton, Nouveau-Brunswick",[ 347032. 3492816.],[2016 2017]
Campbellville,[20597.],[2018]
Campbelton,[200000.],[2010]
Campellton,[50000.],[2015]
Camperville,[8028. 3178.],[2018 2019]
Camrose,[378071. 357296.  98478.  97657. 142890. 347068. 408131. 463306. 154496.],[2006 2007 2008 2009 2010 2012 2016 2018 2019]
"Camrose, Alberta",[14332.],[2019]
Canal Flats,[42500.],[2015]
"Canal Flats, British Columbia|Canal Flats, Colombie-Britannique",[39000.],[2018]
Candiac,[ 62238. 201676.],[2018 2019]
Candle Lake,[10523. 15485.],[2018 2019]
"Candle Lake, Saskatchewan",[50000.],[2018]
Cando,[6093.],[2018]
Canfield,[35159.  1680.],[2013 2018]
Canim Lake,[1664.],[2019]
Canmore,[ 91906. 118212.],[2018 2019]
Canning,[ 50000.  44313. 127541.],[2015 2018 2019]
Cannington,[32122. 30000.],[2018 2019]
Canoe Cove,[7660.],[2019]
Canoe Narrows,[2693.],[2019]
Canora,[21221. 23654.],[2018 2019]
Canso,[34360. 30507.],[2018 2019]
Canterbury,[3604. 3680.],[2018 2019]
Cantley,[17344. 65670.],[2018 2019]
"Cantley, Quebec|Cantley, Québec",[430804.],[2017]
Canton Clermont,[1440.],[2018]
Canton de Hatley,[18573. 33900.],[2018 2019]
Canton de Melbourne,[1440.],[2018]
Canton de Newport,[ 95947. 338836. 239515. 117430.],[2009 2010 2011 2013]
Canton de Stanstead,[ 1440. 27912.],[2018 2019]
Canton des Basques,[7028.],[2018]
Canton-des- Basques,[10788.],[2019]
Canwood,[14405. 24488.],[2018 2019]
Cap d'Espoir,[24966.],[2019]
Cap-Aux-Meules,[94802. 79434. 69779.],[2006 2008 2009]
Cap-Chat,[ 22669. 103898.],[2018 2019]
Cap-Pele,[25959.],[2018]
Cap-Pelé,[62695.],[2019]
Cap-Saint-Ignace,[ 6714. 14968.],[2018 2019]
Cap-Santé,[22750. 10138. 26718.],[2017 2018 2019]
Cap-au-Renard,[5976.],[2019]
Cap-aux-Meules,[ 50000. 170408.  54417. 138557.],[2015 2016 2018 2019]
Cap-aux-Meules Îles-de-la-Madeleine,[59212.],[2011]
"Cap-aux-Meules, Quebec|Cap-aux-Meules, Québec",[447528.],[2017]
Cape Anguille,[1005.],[2018]
Cape Breton,[114739. 113213.],[2006 2007]
Cape Broyle,[22070. 21311.],[2018 2019]
Cape North,[1734.],[2019]
Cape Ray,[ 9703. 10694.],[2018 2019]
Cape St. George,[10484.  5100.],[2018 2019]
Cape St. Georges,[7478.],[2019]
Cape Tormentine,[ 8534. 27967.],[2018 2019]
Caplan,[15232. 74274.],[2018 2019]
Capreol,[27649. 27569. 41791. 42716. 32746. 76608.],[2011 2012 2014 2016 2017 2018]
"Capreol, Ontario",[74228.],[2017]
Caraquet,"[199423. 201213.  99902. 113615. 122273.  98556. 109876.  92270.  92312.
 145791. 353822.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2018 2019]
"Caraquet, New Brunswick|Caraquet, Nouveau-Brunswick",[50000.],[2017]
Carberry,[50000. 42572. 36356.],[2013 2018 2019]
Carbon,[ 4896. 16800.],[2018 2019]
Carbonear,"[ 47422. 210182.  71066. 230845.  60927.  65973.  62875.  37504.  37491.
  38534. 130383. 143193. 182012.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Carbonear, Newfoundland and Labrador|Carbonear, Terre-Neuve-et-Labrador",[45316.],[2017]
Carcross,[27722. 80920. 10858. 83878.],[2008 2016 2018 2019]
Cardiff,[2503.],[2018]
Cardigan,[15103. 13822.],[2018 2019]
Cardinal,[3101.],[2018]
Cardston,[210001.  28913. 134509.  32730.  35334.  59643.  63130.],[2010 2011 2013 2014 2015 2018 2019]
"Cardston, Alberta",[40750. 27890.],[2017 2018]
Cargill,[5040.],[2018]
Carignan,[33587. 31300.],[2018 2019]
Carleton,[49986. 11020.  7968.],[2006 2018 2019]
Carleton Place,[148451. 265582. 400676. 364617. 387527. 568084.  76074. 135175.  25000.],[2006 2008 2009 2010 2012 2013 2016 2018 2019]
Carleton-sur-Mer,[ 32732. 121872.],[2018 2019]
Carlsbad Springs,[1680.],[2018]
"Carlsbad Springs, Ontario",[27824.],[2017]
Carlyle,[50299. 25012. 27520.],[2006 2018 2019]
Carmacks,[ 4234. 84926.],[2018 2019]
Carman,[22849. 22763.],[2018 2019]
Carmanville,[28242. 23273. 20303.],[2007 2018 2019]
Carnduff,[ 1316. 57522.],[2018 2019]
Caroline,[43200. 23889. 42172.],[2014 2018 2019]
"Caroline, Alberta",[26195.],[2017]
Caronport,[1549.],[2019]
Carp,[28605. 61052.],[2016 2018]
Carrot River,[25277. 50636.],[2018 2019]
Carrying Place,[10080.     0.],[2018 2019]
Carstairs,[19732. 18429.],[2018 2019]
Carter's Cove,[12248.],[2019]
Carters Cove,[11495.],[2018]
Carters Point,[3041.],[2018]
Cartwright,[16990. 12470.],[2018 2019]
Carvel,[32405.  9556.],[2010 2019]
"Carvel, Alberta",[50000.],[2017]
Cascapedia-St-Jules,[14625.],[2019]
"Cascapedia-St-Jules, Quebec|Cascapedia-St-Jules, Québec",[41600.],[2017]
Cascapédia--Saint-Jules,[61468.],[2019]
Cascapédia-Saint-Jules,[7024.],[2018]
Caslan,[ 3264. 10800.],[2018 2019]
Casselman,[58901. 88485.],[2018 2019]
"Casselman, Ontario",[26334.],[2017]
Cassidy,[1520.],[2018]
Cassidy Lake,[34195.  1352.  2760.],[2007 2018 2019]
Castlegar,[158433.  27067.  33750.  50000.  93715.  95587.],[2006 2007 2008 2013 2018 2019]
Castleton,[3360.],[2018]
Castor,[36943. 65164.],[2018 2019]
Castor River North,[2830.],[2018]
Castor River South,[ 5660. 12347.],[2018 2019]
"Castor, Alberta",[50000. 40820.],[2017 2018]
Castries,[42378.],[2012]
Catalina,[ 5972. 15533.],[2018 2019]
Catalone,[3436. 3611.],[2018 2019]
Causapscal,[27740. 59756.],[2018 2019]
Cavendish,[2393. 4453.],[2018 2019]
Cawston,[4558.],[2018]
Cayamant,[1440. 3938.],[2018 2019]
Cayley,[2100.],[2019]
Cayuga,[100000.  50000.   7886.  44253.],[2008 2015 2017 2018]
Central Bedeque,[50000. 11598.  8208.],[2012 2018 2019]
Central Butte,[6577. 9513.],[2018 2019]
Central Elgin,[50000.],[2008]
Central Hainesville,[4730.],[2018]
Central Onslow,[2640.],[2018]
Central Saanich,[10351. 15124.],[2018 2019]
Centre Burlington,[4620.],[2018]
Centreville,[ 25734. 163600.],[2018 2019]
"Centreville, Ontario",[30000.],[2018]
Ceylon,[ 6093. 14362.],[2018 2019]
Chalk River,[1680.],[2018]
Chambly,[281914. 291429. 177662. 188982. 194902.  27336. 102456. 496796.],[2006 2007 2008 2009 2010 2016 2018 2019]
Chambord,[23335. 68876.],[2018 2019]
Chamcook,[1380.],[2019]
Champion,[7418.],[2018]
Champlain,[ 9211. 22764.],[2018 2019]
Champney's West,[6237.],[2019]
Chance Cove,[ 9963. 10533.],[2018 2019]
Chandler,[185536. 141396.  87900.  96600. 149389.  12968. 119490.],[2006 2007 2008 2009 2011 2018 2019]
Change Islands,[9082. 6237.],[2018 2019]
Channel-Port Aux Basques,[43276.],[2018]
Channel-Port aux Basques,[43174.  1005. 37478.],[2016 2018 2019]
Chapais,[ 28869. 102610.],[2018 2019]
Chapeau,"[127541.  92438.  95553.  93972.  95980.  95987. 113012. 121903.   4554.
  10956.]",[2006 2007 2008 2009 2010 2011 2012 2014 2018 2019]
"Chapeau, Quebec|Chapeau, Québec",[771271.],[2017]
Chapel Arm,[ 69155.  90660.  77691.  95150. 183076.  91652.   8955.   9165.],[2006 2007 2008 2010 2011 2012 2018 2019]
"Chapel Arm, Newfoundland and Labrador|Chapel Arm, Terre-Neuve-et-Labrador",[88165.],[2017]
Chapel Cove,[24952.],[2019]
Chapel Island,[23333.],[2019]
Chapel's Cove,[20908.],[2018]
Chapleau,[ 26390.  27500.  43401. 148626.],[2011 2013 2018 2019]
"Chapleau, Ontario",[50000. 50000.],[2017 2018]
Chaplin,[9208. 1549.],[2018 2019]
Charette,[ 8508. 27402.],[2018 2019]
Charing Cross,[1680.],[2018]
Charlemagne,[27692. 23454. 53906.],[2016 2018 2019]
Charlesbourg,[59321. 25212.],[2007 2009]
Charlo,[14266. 46239.],[2018 2019]
"Charlo, New Brunswick|Charlo, Nouveau-Brunswick",[50000.],[2017]
Charlos Cove,[25115.],[2008]
Charlotteotwn,[1472.],[2019]
Charlottetown,"[ 1562500.  4599742.  1787607.  1051088.  2257118.  2213770.  1065201.
  1008226. 13481201.  1398431.   787121.  2784482. 11555140.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Charlottetown, Prince Edward Island|Charlottetown, Île-du-Prince-Édouard",[ 431728. 4575056.  608566.],[2016 2017 2018]
Charlottettown,[101762.  43824.  90665.],[2010 2012 2013]
Charny,[37844. 16057. 50000.],[2011 2018 2019]
Charters Settlement,[1380.],[2019]
Chartierville,[3500.],[2019]
Chase,[44167. 63908. 40484.],[2013 2018 2019]
Chateauguay,[99940.  4941.],[2006 2018]
Chateh,[45735. 23886.],[2016 2019]
"Chateh, Alberta",[46665.],[2017]
Chatham,[413193.  33500. 556465.  99725. 125118. 384039. 114736.],[2007 2008 2010 2015 2016 2018 2019]
Chatham-Kent,[3797.],[2018]
Chatsworth,[43030.  5040.],[2015 2018]
Chauvin,[1904.],[2018]
Chazel,[24700.],[2019]
Chelmsford,[26854. 42353.     0.],[2006 2018 2019]
Chelsea,[ 76037. 148619.],[2018 2019]
Chemainus,[39000. 57654. 49039.],[2015 2018 2019]
Cherry Brook,[21353. 21474.],[2018 2019]
Cherryville,[6653.],[2019]
Chertsey,[12402. 78729.],[2018 2019]
Chesley,[ 8400. 36951.],[2018 2019]
Chester,[112760.  50000.  61369.],[2006 2010 2019]
Chester Basin,[74978. 59246.  7775.],[2006 2018 2019]
Chestermere,[43770. 71528.],[2018 2019]
Chesterville,[11750.],[2019]
Cheticamp,[49641. 73388.],[2018 2019]
Chetwynd,[50000. 25948. 51120.],[2010 2018 2019]
Chevery,[ 7102. 24444.],[2018 2019]
Chibougamau,[ 35462.  73864.  59952. 625790.  90308. 532967.],[2010 2011 2012 2015 2018 2019]
Chichester,[3500.],[2019]
Chicoutimi,"[ 297879.  572671.  219241.  152718.  254236.  615807. 1139912.  185574.
  491655.  779105. 2894814.  648793. 4931988.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Chicoutimi, Quebec|Chicoutimi, Québec",[118951.  50000.],[2017 2018]
Chilanko Forks,[81429.],[2016]
Chillilwack,[5822.],[2019]
Chilliwack,"[   85709.    45874.   309703.    32771. 13334521.    38633.    45193.
   442997.   252305.   383922.]",[2006 2007 2008 2009 2010 2011 2012 2014 2018 2019]
China,[600180.],[2015]
Chipman,[26808. 32225. 76271.],[2010 2018 2019]
Chisasibi,[98800.],[2019]
Chitek Lake,[1316.],[2018]
Choiceland,[1316. 1941.],[2018 2019]
Christ Church,[34753.],[2007]
Christian Island,[93891.],[2013]
Christina Lake,[18633. 29122.],[2018 2019]
Christmas Island,[7118. 3870.],[2018 2019]
Christmas island,[3611.],[2019]
Christopher Lake,[50000. 50000. 15303. 51668.],[2013 2014 2018 2019]
Church Point,[14112. 27730.],[2018 2019]
Churchbridge,[5678. 5974.],[2018 2019]
Churchill,[52500. 15148. 15830.],[2011 2018 2019]
Churchill Falls,[2986.],[2018]
Churchville,[6872. 6190.],[2018 2019]
Chute-Saint-Philippe,[3294. 9830.],[2018 2019]
Chute-aux-Outardes,[ 7411. 53516.],[2018 2019]
Château-Richer,[123626.  17768.  30958.],[2006 2018 2019]
Châteauguay,[ 143984.  136414.   63985.   32666.  924266.   34864.  262528. 1964848.],[2008 2009 2012 2014 2015 2016 2018 2019]
"Châteauguay, Quebec|Châteauguay, Québec",[36483.],[2017]
Chénéville,[ 1260. 56684.],[2018 2019]
Chéticamp,[46917.],[2019]
City of Langley,[6616.],[2019]
Clair,[21626. 22434.],[2018 2019]
Clairmont,[3264. 4200.],[2018 2019]
Clandeboye,[31122. 15505. 18430.],[2015 2018 2019]
"Clandeboye, Manitoba",[31749.],[2018]
Clandonald,[7350.],[2019]
"Claremont, Ontario",[36173.],[2017]
Clarence Creek,[1680.],[2018]
Clarenville,"[103071. 434985. 148566. 121283. 407103. 308025.  47615. 243859.  47645.
  48969. 150089. 163622. 174602.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Clarenville, Newfoundland and Labrador|Clarenville, Terre-Neuve-et-Labrador",[200157.],[2017]
Claresholm,[13501. 25200.],[2018 2019]
Clark's Harbour,[ 6516. 19079.],[2018 2019]
Clarke's Beach,[25708.  4019. 26982.],[2007 2018 2019]
Clarkes Beach,[1005.],[2018]
Clarksburg,[10517.],[2018]
Clavet,[18415. 18582.],[2018 2019]
Claybank,[10522.],[2018]
Clearwater,[47780. 29058. 29497.],[2013 2018 2019]
Clearwater ,[0.],[2019]
Clearwater BC,[4411.],[2019]
"Clearwater, BC",[8822.],[2019]
Clementsport,[ 4418. 28223.],[2018 2019]
Clermont,[4734. 7968.],[2018 2019]
Cleveland,[7346. 6611.],[2018 2019]
Clifton,[ 4016. 28970.],[2018 2019]
Climax,[2631. 3097.],[2018 2019]
Clinton,[262000. 241798.  58972. 131675.],[2008 2010 2018 2019]
Clive,[7790. 5171.],[2018 2019]
Cloridorme,[98177.  5122.],[2006 2019]
Cloyne,[11391.],[2018]
Clyde,[7419. 4778.],[2018 2019]
Clyde River,[3436. 6529.],[2018 2019]
